Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A817964,"609 WEST 35TH STREET
AUSTIN 78705
(30.301524, -97.739998)",No (contact for more info),05/29/2020,Dog,Yorkshire Terrier Mix,Brown/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817964
A817961,35 AUSTIN78745,No (contact for more info),05/29/2020,Dog,Pit Bull Mix,White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817961
A817957,"315 EAST BRENHAM STREET MANOR78653
(30.3372, -97.555624)",No (contact for more info),05/29/2020,Dog,Miniature Pinscher Mix,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A817957
A817962,"1740 WEST ANDERSON LANE
AUSTIN 78757
(30.353247, -97.724886)",No (contact for more info),05/29/2020,Dog,Chihuahua Longhair/Dachshund Longhair,Black/White,Intact Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817962
A817958,"2714 FENTONRIDGE DRIVE
AUSTIN 78745
(30.203672, -97.820324)",No (contact for more info),05/29/2020,Cat,Domestic Shorthair Mix,Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817958
A817864,"106 BELLA TOSCANA AVENUE
LAKEWAY 78734
(30.343808, -97.975881)",Yes (come to the shelter),05/27/2020,Cat,Domestic Shorthair,Blue,Intact Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817864
A817855,"611 CENTER RIDGE DRIVE
AUSTIN 78752
(30.414908, -97.666994)",Yes (come to the shelter),05/27/2020,Cat,Domestic Shorthair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817855
A817830,"3800 183
AUSTIN 78723",No (contact for more info),05/27/2020,Cat,Domestic Shorthair,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A817830
A817861,"3801 EAST 12TH STREET
AUSTIN 78745
(30.278061, -97.692755)",Yes (come to the shelter),05/27/2020,Dog,American Bulldog,Black Brindle/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817861
A817863,"3801 EAST 12TH STREET
AUSTIN 78745
(30.278061, -97.692755)",Yes (come to the shelter),05/27/2020,Dog,American Bulldog,Brown Brindle/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A817863
